DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
10/18/18,TAVERN,Blue Water Highway,$10.00,$10.00,4,$40.00,$28.00,-$12.00,9,$90.00,$130.00,-$102.00,N/A,$91.00,13,$39.00,$271.12,,,
10/20/18,BALLROOM,The Barr Brothers,$20.00,$25.00,102,"$2,040.00","$5,000.00","$2,960.00",24,$600.00,"$2,640.00","$2,360.00",$105.60,"$5,000.00",126,"-$2,465.60","$1,397.73",,,
10/20/18,TAVERN,Future Generations,$10.00,$12.00,19,$190.00,$200.00,$10.00,8,$96.00,$286.00,-$86.00,N/A,$200.00,27,$86.00,$340.98,,,
10/24/18,TAVERN,The Dirty Nil,$12.00,$15.00,32,$384.00,$600.00,$216.00,12,$180.00,$564.00,$36.00,N/A,$600.00,44,-$36.00,$0.00,,,
10/25/18,BALLROOM,Remember Jones,$15.00,$20.00,104,"$1,560.00","$2,000.00",$440.00,19,$380.00,"$1,940.00",$60.00,$77.60,"$1,500.00",123,$362.40,$0.00,,,
10/28/18,BALLROOM,Tune-Yards + US Girls,$22.50,$25.00,299,"$6,727.50","$8,000.00","$1,272.50",39,$975.00,"$7,702.50",$297.50,$308.10,"$8,000.00",338,-$605.60,$0.00,,,
10/30/18,BALLROOM,A Tribe Called Red,$20.00,$25.00,87,"$1,740.00","$3,700.00","$1,960.00",47,"$1,175.00","$2,915.00",$785.00,$116.60,"$3,700.00",134,-$901.60,"$1,850.45",,,
11/2/18,TAVERN,Shana Falana,$5.00,$5.00,2,$10.00,$150.00,$140.00,0,$0.00,$10.00,$140.00,N/A,$150.00,2,-$140.00,N/A,,,
11/2/18,BALLROOM,Why?,$16.00,$18.00,233,"$3,728.00","$4,000.00",$272.00,51,$918.00,"$4,646.00",-$646.00,$0.00,"$4,000.00",284,$646.00,"$4,218.98",,,
11/7/18,TAVERN,Madeline Kenney,$10.00,$10.00,2,$20.00,$13.00,-$7.00,8,$80.00,$100.00,-$87.00,N/A,$65.00,10,$35.00,$400.13,,,
11/13/18,TAVERN,Dodos + Palehound,$15.00,$15.00,45,$675.00,"$1,500.00",$825.00,21,$315.00,$990.00,$510.00,N/A,"$1,500.00",66,-$510.00,$937.78,,,
11/14/18,BALLROOM,Four Fists,$15.00,$18.00,45,$675.00,"$2,000.00","$1,325.00",26,$468.00,"$1,143.00",-$857.00,$45.72,"$2,000.00",71,-$902.72,$754.90,,,
11/17/18,TAVERN,King Buffalo,$10.00,$10.00,22,$220.00,$143.00,-$77.00,37,$370.00,$590.00,$447.00,N/A,$383.50,59,$206.50,"$1,034.24",,,
11/18/18,TAVERN,Gold Connections,$10.00,$12.00,3,$30.00,$18.00,-$12.00,8,$96.00,$126.00,$108.00,N/A,$75.60,11,$50.40,$175.03,,,
11/19/18,TAVERN,Den-Mate,$10.00,$10.00,2,$20.00,$12.00,-$8.00,5,$50.00,$70.00,$58.00,N/A,$42.00,7,$28.00,$203.32,,,
11/21/18,BALLROOM,The Floorwalkers,$10.00,$13.00,33,$330.00,$264.00,-$66.00,50,$650.00,$980.00,$0.00,$39.20,$784.00,83,$156.80,"$1,912.39",,,
11/21/18,TAVERN,Mimi Arden,$8.00,$10.00,2,$16.00,$12.80,-$3.20,27,$270.00,$286.00,$273.20,N/A,$200.20,29,$85.80,$437.38,,,
